,fecha,Reserva_Consumo,0,1,2
0,2014-01-01,,,,
1,2014-02-01,,,,
2,2014-03-01,,,,
3,2014-04-01,,,,
4,2014-05-01,,,,
5,2014-06-01,,,,
6,2014-07-01,9.6,,,
7,2014-08-01,9.76,,,
8,2014-09-01,9.12,,,
9,2014-10-01,9.17,,,
10,2014-11-01,8.87,,,
11,2014-12-01,8.84,,,
12,2015-01-01,8.47,,,
13,2015-02-01,8.57,,,
14,2015-03-01,7.84,,,
15,2015-04-01,7.8,,,
16,2015-05-01,7.79,,,
17,2015-06-01,7.52,,,
18,2015-07-01,7.36,,,
19,2015-08-01,7.31,,,
20,2015-09-01,7.4,,,
21,2015-10-01,7.47,,,
22,2015-11-01,7.38,,,
23,2015-12-01,6.89,,,
24,2016-01-01,6.98,,,
25,2016-02-01,6.96,,,
26,2016-03-01,7.09,,,
27,2016-04-01,8.11,,,
28,2016-05-01,7.93,,,
29,2016-06-01,7.76,,,
30,2016-07-01,8.04,,,
31,2016-08-01,8.09,,,
32,2016-09-01,8.31,,,
33,2016-10-01,8.5,,,
34,2016-11-01,8.32,,,
35,2016-12-01,8.27,,,
36,2017-01-01,8.24,,,
37,2017-02-01,8.4,,,
38,2017-03-01,8.32,,,
39,2017-04-01,8.47,,,
40,2017-05-01,8.6,,,
41,2017-06-01,8.89,,,
42,2017-07-01,8.92,,,
43,2017-08-01,8.93,,,
44,2017-09-01,8.98,,,
45,2017-10-01,8.97,,,
46,2017-11-01,8.8,,,
47,2017-12-01,8.65,,,
48,2018-01-01,8.57,,,
49,2018-02-01,8.54,,,
50,2018-03-01,8.63,,,
51,2018-04-01,8.25,,,
52,2018-05-01,8.16,,,
53,2018-06-01,7.98,,,
54,2018-07-01,7.89,,,
55,2018-08-01,7.78,,,
56,2018-09-01,7.87,,,
57,2018-10-01,7.81,,,
58,2018-11-01,7.82,,,
59,2018-12-01,7.74,,,
60,2019-01-01,7.65,,,
61,2019-02-01,7.48,,,
62,2019-03-01,,7.452732919825237,6.999446128898219,7.935374735570662
63,2019-04-01,,7.896674935764383,7.257445941649165,8.592206616830751
64,2019-05-01,,7.661468963873031,6.8987863510956675,8.50846854752463
65,2019-06-01,,7.444293669847308,6.569923878202633,8.435030492025966
66,2019-07-01,,7.417624788774635,6.416094648768387,8.575490312881469
67,2019-08-01,,7.245846646757233,6.14149251151964,8.548784115562158
68,2019-09-01,,7.187178320961433,5.967402772390834,8.65628384534236
69,2019-10-01,,7.064356782619831,5.743510910469861,8.688960033343822
70,2019-11-01,,6.733761511567814,5.358701249987224,8.46166673217324
71,2019-12-01,,6.455461947788985,5.026146249524986,8.291240821591694
72,2020-01-01,,6.197104179486875,4.718517793460436,8.139017778981213
73,2020-02-01,,6.016052408754787,4.477516155328093,8.083250920673052
74,2020-03-01,,5.771076333740497,4.180328277509404,7.967154691904393
75,2020-04-01,,5.5873774822762305,3.940318167988256,7.922910231735511
76,2020-05-01,,5.364174570709835,3.681062756830167,7.81686451057091
77,2020-06-01,,5.1797844450361294,3.457040794894924,7.76102119959326
78,2020-07-01,,4.940650648215667,3.205341664773462,7.615421811652353
79,2020-08-01,,4.6795809674301,2.949644599000087,7.424107310473094
80,2020-09-01,,4.476092614672018,2.7397469935060133,7.3128668970569315
81,2020-10-01,,4.229475575617894,2.512604398690484,7.119490698205973
82,2020-11-01,,3.937598960299214,2.269209149734333,6.832638399137717
83,2020-12-01,,3.655359090219799,2.0424890416573342,6.54184664198271
84,2021-01-01,,3.4020280231699673,1.8422030905345081,6.282583462106593
85,2021-02-01,,3.1676159856196957,1.6614510802479032,6.0391733176136055
86,2021-03-01,,2.9768630080812675,1.5030174065431496,5.895948596672652
87,2021-04-01,,2.7518860084922436,1.3381504676875244,5.659211565962505
88,2021-05-01,,2.527321903370069,1.182791310547999,5.400239202209547
89,2021-06-01,,2.3045731441672594,1.037338291859928,5.11988945023358
90,2021-07-01,,2.1207387626782785,0.9175167206953084,4.901853882420688
91,2021-08-01,,1.932642130278201,0.8031463017188993,4.650591798446142
92,2021-09-01,,1.7941146647108055,0.715704948806577,4.497450290790537
93,2021-10-01,,1.6369596374153166,0.6264566658434285,4.277449663528062
94,2021-11-01,,1.4830288304391055,0.5441326081491715,4.041982558984285
95,2021-12-01,,1.3334948974359044,0.46879771164232825,3.793125685827338
